candidate_rank,ID,Name,Role,skill_match_score,text_similarity_score,overall_match_score,selection_probability,candidate_score,recommendation,matched_skills,missing_skills
1,VAMSKR184,Bhavani,Digital Marketing Specialist,100.0,33.84,60.3,50.23,72.18,Recommended,['data analysis'],[]
2,uppaup315,Jack Wilson,UI Engineer,100.0,26.16,55.7,60.01,72.07,Recommended,['javascript'],[]
3,uppaup288,Frank Wilson,UI Engineer,100.0,23.56,54.14,62.57,71.88,Recommended,"['git', 'javascript']",[]
4,uppaup408,Jack Johnson,UI Engineer,100.0,19.1,51.46,67.9,71.74,Recommended,"['git', 'javascript']",[]
5,uppaup400,Ivy Smith,Product Manager,100.0,22.34,53.4,63.4,71.71,Recommended,['data analysis'],[]
6,uppaup156,Eve Smith,UI Engineer,100.0,27.19,56.31,54.88,71.32,Recommended,['javascript'],[]
7,uppaup414,Bob Wilson,Product Manager,100.0,26.28,55.77,55.13,71.12,Recommended,['data analysis'],[]
8,uppaup198,Alice Taylor,UI Engineer,100.0,21.46,52.88,61.63,71.12,Recommended,['javascript'],[]
9,uppaup500,Charlie Miller,Product Manager,100.0,19.76,51.86,63.72,71.08,Recommended,"['power bi', 'tableau']",[]
10,uppaup173,Alice Wilson,UI Engineer,100.0,25.42,55.25,55.71,71.0,Recommended,"['git', 'javascript']",[]
11,uppaup200,Jack Davis,UI Engineer,100.0,22.09,53.25,59.57,70.88,Recommended,['javascript'],[]
12,uppaup385,Eve Smith,UI Engineer,100.0,18.1,50.86,64.76,70.84,Recommended,"['git', 'javascript']",[]
13,uppaup488,Eve Jones,UI Engineer,100.0,19.6,51.76,62.12,70.72,Recommended,['javascript'],[]
14,uppaup112,Grace Wilson,UI Engineer,100.0,19.37,51.62,62.11,70.65,Recommended,['javascript'],[]
15,antole900,Antonio Lee,Machine Learning Engineer,100.0,7.57,44.54,77.85,70.61,Recommended,['machine learning'],[]
16,uppaup225,Grace Brown,UI Engineer,100.0,16.11,49.67,66.2,70.59,Recommended,['javascript'],[]
17,elizbu323,Elizabeth Burns,Mobile App Developer,100.0,23.62,54.17,55.36,70.45,Recommended,['api'],[]
18,VAMSKR086,Kiran,Digital Marketing Specialist,100.0,27.77,56.66,49.53,70.4,Recommended,['data analysis'],[]
19,theoal647,Theodore Allen,AI Researcher,100.0,9.06,45.44,74.42,70.33,Recommended,['machine learning'],[]
20,ananme848,ananya mehta,product manager,100.0,14.08,48.45,67.26,70.25,Recommended,['data analysis'],[]
21,uppaup389,Jack Jones,UI Engineer,100.0,23.57,54.14,53.58,70.08,Recommended,['javascript'],[]
22,kabich225,kabir chopra,software engineer,100.0,16.24,49.74,63.33,70.05,Recommended,['java'],[]
23,uppaup401,Charlie Williams,UI Engineer,100.0,20.87,52.52,56.76,69.99,Recommended,"['git', 'javascript']",[]
24,kabish828,kabir sharma,data scientist,100.0,7.89,44.73,74.07,69.94,Recommended,"['machine learning', 'sql', 'tensorflow']",[]
25,VAMSKR108,Ananya,Business Analyst,100.0,20.44,52.26,56.93,69.9,Recommended,"['data analysis', 'data visualization', 'excel', 'power bi', 'tableau']",[]
26,aditjo362,aditya joshi,software engineer,100.0,14.92,48.95,64.05,69.84,Recommended,['javascript'],[]
27,krisha544,Kristy Hampton,Machine Learning Engineer,100.0,9.95,45.97,70.66,69.82,Recommended,['machine learning'],[]
28,ananiy857,ananya iyer,software engineer,100.0,16.29,49.77,62.1,69.82,Recommended,['javascript'],[]
29,tanvba926,tanvi bansal,product manager,100.0,15.56,49.34,63.01,69.81,Recommended,['data analysis'],[]
30,uppaup60,Ivy Smith,UI Engineer,100.0,16.83,50.1,61.17,69.78,Recommended,"['git', 'javascript']",[]
31,uppaup145,Alice Jones,UI Engineer,100.0,16.69,50.01,61.19,69.74,Recommended,['javascript'],[]
32,harsjo494,harshitha joshi,product manager,100.0,17.23,50.34,60.0,69.65,Recommended,['data analysis'],[]
33,tylepa150,Tyler Patterson,AR/VR Developer,100.0,9.14,45.48,70.67,69.6,Recommended,['machine learning'],[]
34,uppaup195,Diana Williams,Product Manager,100.0,24.11,54.47,50.13,69.54,Recommended,"['data analysis', 'sql']",[]
35,aditsh163,aditya sharma,data scientist,100.0,11.88,47.13,66.41,69.49,Recommended,"['data visualization', 'deep learning', 'machine learning']",[]
36,stepmo912,Stephanie Morris,Full Stack Developer,100.0,16.27,49.76,60.14,69.42,Recommended,['javascript'],[]
37,aarach642,aarav chopra,product manager,100.0,12.39,47.43,65.02,69.35,Recommended,['data analysis'],[]
38,ishasi764,ishaan singh,data scientist,100.0,11.85,47.11,65.65,69.33,Recommended,"['data visualization', 'machine learning', 'python']",[]
39,uppaup396,Alice Moore,UI Engineer,100.0,19.0,51.4,55.73,69.28,Recommended,['javascript'],[]
40,danihe983,daniel hernandez,ui engineer,100.0,20.07,52.04,54.03,69.22,Recommended,['javascript'],[]
41,anansi133,ananya singh,data engineer,100.0,7.73,44.64,70.56,69.2,Recommended,"['aws', 'docker', 'python']",[]
42,durgba028,Joshua Rodriguez,Software Engineer,100.0,17.47,50.48,57.22,69.16,Recommended,['api'],[]
43,uppaup155,Jack Williams,UI Engineer,100.0,22.16,53.3,50.65,69.11,Recommended,['javascript'],[]
44,uppaup485,Hank Taylor,Product Manager,100.0,19.88,51.93,53.62,69.09,Recommended,['data analysis'],[]
45,durgba021,Wayne Galloway,Data Engineer,100.0,19.49,51.69,54.12,69.08,Recommended,['python'],[]
46,durgba056,Brittany Lester,Data Engineer,100.0,24.32,54.59,47.47,69.06,Recommended,"['etl', 'python']",[]
47,ishash861,ishaan sharma,software engineer,100.0,12.29,47.37,63.23,68.96,Recommended,"['git', 'python']",[]
48,jerrro179,Jerry Rodriguez,Software Engineer,100.0,8.44,45.06,68.33,68.94,Recommended,['java'],[]
49,ananba756,ananya bansal,product manager,100.0,13.85,48.31,60.9,68.92,Recommended,['data analysis'],[]
50,diyame40,diya mehta,software engineer,100.0,15.27,49.16,58.75,68.87,Recommended,['java'],[]
51,KotaSai84,Yash Sahu,Data Scientist,100.0,6.34,43.8,70.31,68.77,Recommended,"['data analysis', 'machine learning']",[]
52,anangu185,ananya gupta,software engineer,100.0,16.2,49.72,56.86,68.75,Recommended,['javascript'],[]
53,harsgu458,harshitha gupta,data engineer,100.0,7.75,44.65,67.6,68.61,Recommended,"['aws', 'kubernetes', 'python', 'sql']",[]
54,harssh839,harshitha sharma,ui engineer,100.0,20.7,52.42,50.05,68.6,Recommended,['javascript'],[]
55,ananiy562,ananya iyer,ui engineer,100.0,15.75,49.45,56.71,68.59,Recommended,['javascript'],[]
56,aaraiy957,aarav iyer,product manager,100.0,16.5,49.9,55.63,68.58,Recommended,['data analysis'],[]
57,ishasi693,ishaan singh,data engineer,100.0,12.34,47.4,61.18,68.57,Recommended,"['etl', 'kubernetes']",[]
58,coryda461,Cory Davis,Product Manager,100.0,8.65,45.19,66.05,68.55,Recommended,['data analysis'],[]
59,stacbr708,Stacey Brewer,Mobile App Developer,100.0,19.15,51.49,51.79,68.53,Recommended,['api'],[]
60,raympa229,raymond parker,ui engineer,100.0,16.83,50.1,54.91,68.53,Recommended,['javascript'],[]
61,kathmc393,Kathleen Mccoy,UI Engineer,100.0,10.93,46.56,62.9,68.53,Recommended,['javascript'],[]
62,justpe374,Justin Peterson,Cloud Architect,100.0,18.18,50.91,53.05,68.52,Recommended,"['aws', 'gcp']",[]
63,uppaup73,Grace Williams,Software Engineer,100.0,13.25,47.95,59.66,68.51,Recommended,"['java', 'machine learning', 'python']",[]
64,miragu650,mira gupta,product manager,100.0,14.93,48.96,57.27,68.49,Recommended,['data analysis'],[]
65,durgba101,Claudia Brown,Data Engineer,100.0,23.94,54.36,44.79,68.42,Recommended,['python'],[]
66,whittr784,Whitney Trujillo,Data Engineer,100.0,9.78,45.87,63.82,68.41,Recommended,['spark'],[]
67,aditgu330,aditya gupta,ui engineer,100.0,12.15,47.29,60.57,68.39,Recommended,['javascript'],[]
68,harsch486,harshitha chopra,product manager,100.0,11.19,46.71,61.71,68.36,Recommended,['data analysis'],[]
69,ananch283,ananya chopra,product manager,100.0,13.6,48.16,58.32,68.34,Recommended,['data analysis'],[]
70,durgba050,Mark Mason,Data Scientist,100.0,27.0,56.2,40.24,68.34,Recommended,"['deep learning', 'nlp', 'statistics']",[]
71,alexwo353,Alexandria Wood,AI Researcher,100.0,16.56,49.94,54.27,68.33,Recommended,"['computer vision', 'nlp']",[]
72,harska620,harshitha kapoor,product manager,100.0,12.77,47.66,59.4,68.33,Recommended,['data analysis'],[]
73,uppaup447,Jack Davis,UI Engineer,100.0,21.55,52.93,47.52,68.32,Recommended,['javascript'],[]
74,michly709,Michelle Lyons,Cloud Architect,100.0,16.99,50.19,53.47,68.28,Recommended,['azure'],[]
75,harsme528,harshitha mehta,data engineer,100.0,9.67,45.8,63.18,68.25,Recommended,"['etl', 'kubernetes', 'spark', 'sql']",[]
76,uppaup241,Diana Moore,Software Engineer,100.0,15.92,49.55,54.56,68.21,Recommended,"['aws', 'azure', 'docker', 'git', 'java', 'javascript', 'kubernetes', 'python']",[]
77,kendjo852,Kendra Jones,Digital Marketing Specialist,100.0,11.77,47.06,60.17,68.21,Recommended,['data analysis'],[]
78,eriksm594,Erik Smith,Machine Learning Engineer,100.0,17.81,50.69,51.85,68.18,Recommended,"['feature engineering', 'machine learning', 'python']",[]
79,durgba136,Sandra Mitchell,Data Scientist,100.0,24.15,54.49,43.31,68.18,Recommended,"['machine learning', 'nlp', 'python', 'statistics']",[]
80,diyagu17,diya gupta,software engineer,100.0,12.39,47.43,59.13,68.17,Recommended,"['git', 'java']",[]
81,danimc656,Daniel Mcmahon,Machine Learning Engineer,100.0,7.57,44.54,65.62,68.17,Recommended,['machine learning'],[]
82,kabiiy586,kabir iyer,product manager,100.0,17.26,50.36,52.42,68.15,Recommended,['data analysis'],[]
