final_rank,ID,Name,Role,text_similarity_score,skill_match_score,selection_probability,final_match_score,final_recommendation,matched_skills_text,missing_skills_text
1,VAMSKR184,Bhavani,Digital Marketing Specialist,33.84,100.0,50.23,86.35,Highly Recommended,data analysis,None
2,uppaup315,Jack Wilson,UI Engineer,26.16,100.0,60.01,79.92,Highly Recommended,javascript,None
3,uppaup156,Eve Smith,UI Engineer,27.19,100.0,54.88,79.7,Highly Recommended,javascript,None
4,VAMSKR086,Kiran,Digital Marketing Specialist,27.77,100.0,49.53,78.87,Highly Recommended,data analysis,None
5,uppaup414,Bob Wilson,Product Manager,26.28,100.0,55.13,78.68,Highly Recommended,data analysis,None
6,uppaup173,Alice Wilson,UI Engineer,25.42,100.0,55.71,77.81,Highly Recommended,"git, javascript",None
7,uppaup288,Frank Wilson,UI Engineer,23.56,100.0,62.57,77.53,Highly Recommended,"git, javascript",None
8,uppaup400,Ivy Smith,Product Manager,22.34,100.0,63.4,76.31,Highly Recommended,data analysis,None
9,durgba112,Kelly Henderson,Data Scientist,28.74,100.0,34.24,75.67,Highly Recommended,"deep learning, machine learning, statistics",None
10,elizbu323,Elizabeth Burns,Mobile App Developer,23.62,100.0,55.36,75.55,Highly Recommended,api,None
11,durgba050,Mark Mason,Data Scientist,27.0,100.0,40.24,75.3,Highly Recommended,"deep learning, nlp, statistics",None
12,uppaup389,Jack Jones,UI Engineer,23.57,100.0,53.58,74.98,Recommended,javascript,None
13,uppaup200,Jack Davis,UI Engineer,22.09,100.0,59.57,74.91,Recommended,javascript,None
14,uppaup198,Alice Taylor,UI Engineer,21.46,100.0,61.63,74.75,Recommended,javascript,None
15,uppaup195,Diana Williams,Product Manager,24.11,100.0,50.13,74.65,Recommended,"data analysis, sql",None
16,VAMSKR075,Shanti,DevOps Engineer,25.81,85.71,60.51,74.64,Recommended,"aws, azure, docker, gitlab, kubernetes, python",gcp
17,durgba056,Brittany Lester,Data Engineer,24.32,100.0,47.47,74.14,Recommended,"etl, python",None
18,uppaup408,Jack Johnson,UI Engineer,19.1,100.0,67.9,73.7,Recommended,"git, javascript",None
19,uppaup464,Eve Smith,UI Engineer,25.26,100.0,41.23,73.49,Recommended,"git, javascript",None
20,uppaup500,Charlie Miller,Product Manager,19.76,100.0,63.72,73.3,Recommended,"power bi, tableau",None
21,durgba158,Aaron Jensen,Software Engineer,27.68,100.0,29.5,73.05,Recommended,api,None
22,durgba101,Claudia Brown,Data Engineer,23.94,100.0,44.79,72.92,Recommended,python,None
23,durgba136,Sandra Mitchell,Data Scientist,24.15,100.0,43.31,72.75,Recommended,"machine learning, nlp, python, statistics",None
24,uppaup401,Charlie Williams,UI Engineer,20.87,100.0,56.76,72.65,Recommended,"git, javascript",None
25,uppaup488,Eve Jones,UI Engineer,19.6,100.0,62.12,72.65,Recommended,javascript,None
26,uppaup155,Jack Williams,UI Engineer,22.16,100.0,50.65,72.46,Recommended,javascript,None
27,uppaup112,Grace Wilson,UI Engineer,19.37,100.0,62.11,72.37,Recommended,javascript,None
28,taylra368,taylor ramirez,ui engineer,24.36,100.0,40.97,72.34,Recommended,javascript,None
29,durgba123,Wendy Davidson,Data Scientist,24.4,100.0,40.28,72.19,Recommended,"data visualization, machine learning, statistics",None
30,VAMSKR108,Ananya,Business Analyst,20.44,100.0,56.93,72.18,Recommended,"data analysis, data visualization, excel, power bi, tableau",None
31,uppaup385,Eve Smith,UI Engineer,18.1,100.0,64.76,71.61,Recommended,"git, javascript",None
32,danihe983,daniel hernandez,ui engineer,20.07,100.0,54.03,70.91,Recommended,javascript,None
33,uppaup447,Jack Davis,UI Engineer,21.55,100.0,47.52,70.83,Recommended,javascript,None
34,uppaup18,Grace Williams,Product Manager,23.43,100.0,39.47,70.79,Recommended,data analysis,None
35,uppaup485,Hank Taylor,Product Manager,19.88,100.0,53.62,70.57,Recommended,data analysis,None
36,harssh839,harshitha sharma,ui engineer,20.7,100.0,50.05,70.53,Recommended,javascript,None
37,durgba011,Randy Hoffman,Data Engineer,22.87,100.0,40.39,70.38,Recommended,etl,None
38,durgba021,Wayne Galloway,Data Engineer,19.49,100.0,54.12,70.24,Recommended,python,None
39,uppaup396,Alice Moore,UI Engineer,19.0,100.0,55.73,70.11,Recommended,javascript,None
40,uppaup250,Jack Jones,UI Engineer,23.51,100.0,36.34,70.0,Recommended,"aws, google cloud, javascript",None
41,clinfr254,clinton frank,ui engineer,22.35,100.0,40.93,69.91,Recommended,javascript,None
42,VAMSKR178,Srinivas,DevOps Engineer,22.84,88.89,52.48,69.9,Recommended,"aws, azure, docker, git, gitlab, google cloud, kubernetes, python",java
43,VAMSKR164,Suma,DevOps Engineer,28.18,70.0,52.87,69.81,Recommended,"aws, azure, docker, git, gitlab, kubernetes, python","machine learning, spark, tensorflow"
44,johnro328,john ross,ui engineer,22.08,100.0,41.57,69.77,Recommended,javascript,None
45,durgba071,Randy Murphy,Data Scientist,23.24,100.0,36.26,69.65,Recommended,"data visualization, python, statistics",None
46,uppaup225,Grace Brown,UI Engineer,16.11,100.0,66.2,69.63,Recommended,javascript,None
47,chriyo549,christina young,ui engineer,21.72,100.0,42.52,69.61,Recommended,javascript,None
48,uppaup441,Eve Taylor,Data Scientist,22.16,85.71,58.17,69.6,Recommended,"data analysis, data science, data visualization, machine learning, power bi, python, pytorch, r, spark, sql, tableau, tensorflow","hadoop, statistics"
49,durgba171,Kayla Burch,Data Scientist,20.88,100.0,45.36,69.41,Recommended,"data visualization, deep learning, machine learning",None
50,dougjo477,douglas jones,ui engineer,22.7,100.0,37.6,69.38,Recommended,javascript,None
51,scotmo176,scott mosley,data engineer,24.16,100.0,31.34,69.35,Recommended,"etl, mlops, spark",None
52,durgba034,Jeffery Tucker,Data Engineer,23.44,100.0,34.14,69.29,Recommended,python,None
53,harsjo494,harshitha joshi,product manager,17.23,100.0,60.0,69.21,Recommended,data analysis,None
54,stacbr708,Stacey Brewer,Mobile App Developer,19.15,100.0,51.79,69.17,Recommended,api,None
55,tylepa480,Tyler Patel,Mobile App Developer,20.69,100.0,45.3,69.17,Recommended,api,None
56,VAMSKR124,Ramesh,AI Engineer,27.63,52.63,73.96,69.09,Recommended,"artificial intelligence, aws, docker, google cloud, java, natural language processing, nlp, python, pytorch, tensorflow","azure, computer vision, data science, data visualization, deep learning, feature engineering, gcp, keras, machine learning"
57,uppaup60,Ivy Smith,UI Engineer,16.83,100.0,61.17,69.06,Recommended,"git, javascript",None
